,DESCRICAO
40741,FUBA DE MILHO ENRIQUECIDO - ACOND.: F - EANTrib.: 7896371700037
40743,CABO FLEX 2.50MM 750V AZ FLEXSIL
40744,TINTA ACRILICA CINZA CLARO
40745,Canetinha Hidrografica BRW Ponta Redonda 12 cores
40746,Batata Inglesa Kg
40747,PARAFUSO PED. MONOAXIAL PEDIMAX II 06.2x40mm
40748,TINTA DE PINTURA PREDIAL
40750,DREAMER - MIC. MAO AR- 058 22565 - 3602742
40751,5076-58 -ELETRODO CAPSURE FIX NOVUS 5076 58CM MRI SURESCAN
40752,Conectados Lingua Portuguesa - 2o ano (BNCC) - PNLD2019 - AL
40753,MURICI
40754,SALSA
40755,MINI H14 P42 457X610X66 MPG
40756,OTICA AUTOCLAVAVEL 30 HD 4MM LINVATEC TUSS:
40757,"Bateria Recarregável, Externa, Coletor de Dados"
40758,PNLD 2022 - Porta Aberta - LA - Pre-escola V2 - L 0038P22005206IL
40759,ENXERTO ENDOVASCULAR ZENITH AAA FLEX  ZSLE-11-74-ZT
40760,BERINJELA
40761,SUPORTE
40762,MEDIDOR DE GORDURA CORPORAL BIOIMPEDANCIA TETRAPOLAR
40763,CALÇO COMPOSTO
40764,BETERRABA
40765,HIDROMETRO MINIGUASSU 3M3 H FIOS&CIA/GOLDBRASIL
40766,BACON MANTA DEFUMADO KG
40767,LIVRO AJ L PORT 5 F1 LA PNLD 23 OB1
40768,PINO CENTRAL
40769,ADESIVO PLASTICO PVC FRASCO 175G INCOLOR
40770,OLEO DIESEL B S10 GRID
40771,ANEL VEDACAO
40772,ARROZ LONGO FINO BENEFICIADO TIPO 1 - ACOND.: P - EANTrib.: 7890001452587
40773,CARTUCHO DE TONER ES 5100 /5112
40774,PNEU 205/75R16C DURAVIS 110/108R BRIDGESTONE
40775,MINI PAR.CAN.DE COMP.?4.0x24x48mm ROSCA PARC.LONGA
40776,"Abracadeira Nylon 4,8 X 300mm Pr"
40777,SOBRE O AUTORITARISMO BRASILEIRO
40778,BANANA PRATA
40779,QUEROSENE DE AVIACAO JET A
40780,FUBA DE MILHO PCT COM 1 KG
40781,BUCHA 6MM
40782,PACOM DPF NOVO BRASAO - PROMASP
40783,FORMAO TRAMONTINA C/ PLAST 1
40785,TERMINAIS
40786,LIGA SURE MARYLAND JAW 5MM X 37CM NANO REVESTIDA
40787,Desjejum
40788,"ONU 1977, NITROGENIO, LIQUIDO REFRIGERADO, SUBCLASSE 2.2"
40789,COLO DE PROVA ESTENDIDO 2
40790,"ITEM COMPRA 00008 - LUVA CONEXAO PVC CLORETO DE POLIVINILA RIGIDO, TIPO SOLDAVEL E RSOCAVEL, BITOLA LADO ROSCAVEL 1 1/4"
40792,DOLUTEGRAVIR 50 MG COMP. REV. FRASCO C/ 30CP Lote: 227001521 Val.: 2024-07-21. Vlr Aprox.Tributos: R$ 437858.54 (0%)
40793,TEORIA GERAL DO DIREITO E MARXISMO
40794,Regua Plastica Maxcril Cristal 30cm
40795,ALFACE AMERICANA KG*
40796,PACOM DPF NOVO BRASAO - PROMASP
40797,PHA04412 - Cabeca Femoral Biolox Delta Ceramica 12/14 - 32 L
40800,65413627E #REFERENCIA DE BROCA DE ROTULA 40
40801,CAMISA POLO BRANCA NA MALHA POLIVISCOSE BORDADA TAM G REF NF 7083 DE 29/03/202
40802,PINCA KELLY  14 CM
40803,OLEO DE FREIO
40804,PACOM DPF NOVO BRASAO - PROMASP
40805,Etiquetas de identificacao dos gases em PA para tubulacao - Ar sintetico
40806,DESENGRIPANTE STARRETT -PED:1
40807,BISCOITO AMANTEIGADO NATA
40808,Bomba de combustível- Separador de vapor (VST)
40809,"NITROGENIO ONU 1066 - CAP 10,00M3"
40810,COPA PINNACLE GRIPTION SECTOR 50 MM
40811,GELATINA EM PO MORANGO 1 KG
40812,BANANA PRATA
40813,ROLAMENTO EST CORREIA DIST CORSA NOVO/STRADA/VECTR
40814,"GAS R410A IMPORTADO REFRIGERANT 11,3KG ( UNIDADE ) RLX"
40815,PASTA SANFONADA OF. 12 DIV. INC.
40816,"REQUEIJAO CREMOSO, EMB 3.000G"
40817,TOMATE - KG - .
40818,PILHA ALCALINA AAA C/2UN.
40819,CANETA HIDROGRAFICA VERDE
40820,FILTRO CABINE
40821,CLIPS 6/0 CX. C/50UN.
40822,BLUSA FEMININA DE MANGA LONGA
40823,EDITORA FTD SA. POR TODA PARTE 9 ANO PNLD2020
40824,PRATICAS COMENTADAS PARA INSPIRAR
40825,QUEROSENE DE AVIACAO JET A
40826,PORCA
40827,PRATO RASO EM PORCELANA BARU 26CM TW206-2
40828,EMBUTIDO TIPO LINGUIÇA PAIO
40829,LAMPADA
40830,ARRUELA PLANA PARA LIGACAO ELETRICA
40831,ABRACADEIRA S/ FIM N*09 P
40832,KIT CONJUNTO ANTITUMULTO GLO TAMANHO M
40833,BANANA PRATA
40834,CORREIA ALT GOL G5 / FOX/POLO 09/ ELASTICA UN 1
40835,BATATA DOCE
40836,*DISJUNTOR BRIPOLAR 16A
40837,0026P20012009BL TECENDO LINGUAGENS - LINGUA PORTUGUESA 9
40838,BATERIA 150 AH
40839,SISTEMA LASER STONELIGHT 15W N S TGM03 Reg.MS:10341350903 - (Qtd. 1 Lt: 3006-1-026 Val.: Indeterminada.)
40840,MACA
40841,CAP SOLD KRONA 32MM
40842,GOMETS GOMA GOMOS DE FRUTAS 12x700G
40843,MLTD201LXAZ CART DE TONER PRETO 20K TT
40844,PINCA REDUCAO 140MM 20J000748
40845,GRAMPO GALV. 26/6 C/5000UN. REF.GR5000
40846,Reparo valvula atual pistao flux 6136
40847,ETIQUETA INKJET A4 70X33MM C/100FLS 2700 ETIQUETAS
40848,PARAFUSO PARA MADEIRA CABECA CHATA PHILIPS 4.0X40 CAIXA 1000 UNIDADES
40849,MASSA PVA KOKAR 15 KG
40850,CAFE MADE IN BRAZIL TORRADO E MOIDO 500GR SUPERIOR A VACUO UN
40851,HALTER EMBORRACHADO 03 KG
40853,LIXA MASSA 80 NORTON
40854,PACOM DPF NOVO BRASAO - PROMASP
40855,JUNTA DA VALVULA DE SEGURANCA DO MOTOR DIESEL (BORR.) *
40856,2022-ENCONTROS HISTORIA 3 ANO ? 2022
40857,DICO MAQ.W130 NEW HOL
40858,2023 - INSPIRE CIENCIAS 6 ANO
40859,IP Routine VI (4 BX of 250) WT
40860,PARAFUSOCOM MOLAS PEQ
40862,PISTOLA DE PINTURA ARPREX MOD. 4CP CANECA PLASTICA
40863,HIDROCORTISONA GLIOCORT 500MG INJ IM/IV NOVAFARMA FRESENIUS (CX C/50 FR/A)
40864,SOLDA EM FIO COM RESINA FOXLUX
40865,BATERIA CR123A
40866,"GUARDA CHUVA,ARMACAO ALUMINIO,AUTOMATICO,TAM.GRANDE (CONF.EMPENHO)"
40867,Marmita Alumínio nº 8 Manual 100 und
40868,179.01.28 - CABECA BIOLOX DELTA 28MM S
40869,EXP_TEMP_00024 MULTIMETRO
40871,OLEO MOTOR 5W30 SN DEXOS2 1L
40874,AGUA DESMINERALIZADA LM4420 1 litro
40875,21 - Barbante 8 fios
40876,ADESIVO PVC 75G - TIGRE
40877,"Mouse Pad Preto Lenovo 17,5cm x 25,5 cm"
40878,ITEM 65 - FACA INOX DE MESA TIPO SERRILHADA. ORIGINAL
40879,CEBOLA
40880,BUTANOX M-50 EMBALAGEM 1 KG (R)
40881,BANANA
40882,NCEUP3512X -CATETER BALAO NC TROCA RAPIDA P/DILAT/ANGIO EUPHORA NC 3.50 x 12MM
40884,HISTORIAS DOS GERAIS
40885,PACOM DPF NOVO BRASAO - PROMASP
40886,PAINEL DE CONTROLE DE AUDIO PN: 5091-1-4 SN: 1239
40887,DISPENSER HIGIENIZADOR
40888,PACOM DPF NOVO BRASAO - PROMASP
40890,SACO PTO 40L C/100UN
40891,MLTD201LXAZ CART DE TONER PRETO 20K TT
40892,AGUA MINERAL 20L
40893,LIMAO
40895,KIT ROLETE GAVETA MP501 M3655 M3040 RC KYO
40897,75445535 -PARAFUSO 75445535 MULTI AXIAL 5.5X35 TI
40898,"Trofeus em acrilico vertical 19,5x20x10cm (corpo transparente e base preta) personalizado recortado com base acrilica e"
40900,PARAFUSO CORTICAL 03.5x34mm
40901,ARROZ REI ARTHUR PARBO ZERO 1KG
40902,BATATA
40903,CENOURA
40904,JG BROCA C/8 PCS 3-10MM METAL
40905,DIESEL COMUM S500
40906,"PARAFUSO CORTICAL 2,4 X 7MM                  - Lote: 0264A17"
40907,LARANJA PERA
40908,PACOM DPF NOVO BRASAO - PROMASP
40909,FACA MESA SERRILHADA VANGUARD 21CM 2MM GP415
40911,CANETA MARCA TEXTO AM.
40912,PNLD 2023 Obj1 - A Conquista - Ciencias - LA - 2o ano 0143P23030002LE - L 0143P23030002LE
40913,ALFACE CRESPA
40915,ALTERNADOR
40916,2023 - GEOGRAFIA ESPACO E INTEGRACAO 8 ANO
40917,MACA
40918,FRUTA TIPO KIWI
40919,PACOM DPF NOVO BRASAO - PROMASP
40921,1106-3003 - HASTE UTF PLASMA SPRAY DE TITANIO 3
40922,Lampada Led Bulbo Taschibra 12Watts 6500K Branca Autovolt
40923,"GUARDANAPO DE PAPEL, LARGURA 14CM, COMPRIMENTO 14CM, COR BRANCA, TIPO FOLHAS DUPLA - GIRASSOL"
40924,CHOCOLATE  MEIO AMARGO
40925,WEBCAM 1080P KE-WBM1080P KROSS ELEGANCE PRET7899980101653
40927,MOUSE ÓPTICO UTILIZADO EM EQUIPAMENTO DE ULTRA-SONOGRAFIA
40928,Biscoito Chocolate 36g
40929,OXIGENIO LIQUIDO CAMINH TANQUE .
40930,PO PARA PUDIM
40931,BROCA HELICOIDAL D 1.5X11X105MM
40932,TAMPA DE OLEO MOTOR
40933,PACOM DPF NOVO BRASAO - PROMASP
40934,MELAO ESPANHOL KG
40935,MANGUEIRA PVC P/SUCCAO 4 LARANJA IBIRA
40936,BATATA INGLESA
40937,IONOMERO FOTO IONOFAST - 1X5G
40938,"ALCOOL ETILICO HIDRATADO 92,8 1L - ITAJA"
40940,ESFERA
40941,CABO HDMI 10M DIVERSOS
40942,DISPENSER SABONET/ALCOOL 800ML BR565   NOBRE GOEDERT
40943,CARNE SUINA IN NATURA LOMBO PECA INTEIRA CONGELADA
40944,BLOCO DE ENGATE RAPIDO CORNING 10 POSICOES COM CORTE
40945,PATRAFUSO RODA
40946,JET A NAO TABELADO - LI
40947,FILTRO O
40948,HORTIFRUTIGRANJEIROS/BETERRABA
40949,BETERRABA
40950,COLUNA RMS.80804050079
40951,Creme Hidratante Velnet Petals Noir Especificacao:Unico
40953,COPIADORA IMP HP LASERJET M276NW PRETA  CF210A
40954,PACOM DPF NOVO BRASAO - PROMASP
40955,PASTILHA FREIO DIANT GM S10/TRAILBLAZER 2017...CERAMICA
40956,CUBA P/ ELETROFORESE HORIZONTAL
40958,FILTRO ANTI-POLEN L200 TRITON
40959,MEKACIL EC 50 LTS 11550
40960,"ITEM COMPRA: 00055 - SHUNT,APLICACAO CORONARIA,MATERIA PRIMA POLIMERO,DIAMETRO  2 MM"
40961,LIV - APIS MAIS - LINGUA PORTUGUESA - 1o ANO PNLD 2023 AL
40962,LINHA COSTURA MAT.100% POLIESTER COR VER MARINHO
40964,MACARRÃO TIPO ESPAGUETE COM OVOS
40965,MANGA
40966,"00050 - CABO ELÉTRICO FLEXÍVEL, TENSÃO 990,00 ISOLAMENTO 750 V, BITOLA CONDUTOR 1,5 MM, TÊMPERA CONDUTOR MOLE, COR DA CO"
40967,CATETER BALAO FIREFIGHTER PTCA 2.5MM x 20MM Reg.MS:81667100016
40969,APRESENTADOR DE SLIDE C/LASER
40970,"DISPOSITIVO DE PROTECAO CONTRA SURTOS, PADRAO 10/100BT, CONEXAO RJ-48 PARA T1/E1, PARA TENSAO INFERIOR A 1000V."
40971,AGUA MINERAL 20 L
40972,GRAMPEADOR MINI PARA 12FLS PRETO
40973,BIOANCHOR - SIST DE ANCORA E INSERTOR BIOAB/GM 5.0MM L=17MM
40974,MORANGO
40975,ROCADEIRA FS 220 STIHL
40976,CABO HDMI
40977,PARAFUSO M10X90 DIN 931 8.8 DBL 8451.21
40978,PESSECO CALDA
40979,FUMARATO TENOF DESOPROXILA+LAMIV 300+300MG Lote: 21040480L Val.: 2023-04-30. Vlr Aprox.Tributos: R$ 227.29 (0%)
40980,TOMATE ITALIANO
40981,COUVE MANTEIGA
40982,CANETA ESFEROGRAFICA 0.8 CORES DIVERSAS C/ 50
40983,RETENTOR VIRABREQUIM DIANT POLIA
40984,355 GFORCE-ORGANIZADOR DE CABO 19P 1U PT ( )
40985,BOTIJAO P45
40988,KIT ESTAB GOL-SAV-VOY 16 -INT-
40989,000-PITAYA KG
40990,TRAV 2.150mm CINZA REF:NTR(EUCATEX)
40991,"SACO DE ALGODAO TIPO CRU - 0,55X0,80 - COR BRANCO"
40992,LINHA DE SANGUE ARTERIAL ADULTO SEM CATABOLHA
40994,LAMPADA FAROL H7 12V 55W ORIG. 14145090
40995,COL.MULTIVERSOS-CIEN HUMANAS_PNLD_21_V(1 2)
40996,Batata Doce
40997,COPO DESCARTAVEL MATERIAL ISOPOR PCT C/25UND
40998,"PNLD2021 MULT CIENC NAT - VOL6 - CIENC, TECNO E CIDAD - ME - M 0221P21203138IM"
40999,OLEO HIDRAULICO
41000,MOTOR PARTIDA
41001,PURO EQUINO TREINAMENTO E COMPETICAO GP ESPECIAL
41002,01 REFERENTE A FORNECIMENTO DE JORNAIS E REVISTAS  NA MODALIDADE DIGITAL NO PERIODO DE 15/09/2022 a 14/10/2022
41003,OLEO MOTRIX ULTRA 20W50
41004,PE DE BRINCADEIRA PRE ESCOLA 4 E 5 ANOS E 11 MESES
41005,HORTIFRUTIGRANJEIROS/ABOBORA
41006,SORVETE STER BOM MORANGO 2L
41007,OVOS MEDIO
41008,"GESSO, ORIGEM MINERAL, TIPO ESTUQUE, ASPECTO FÍSICO PÓ, COR BRANCO, APLICAÇÃO CONSTRUÇÃO CIVIL"
41009,Oxigenio Medicinal Carga Cil G
41011,GRAMPEADOR LINEAR AUTOMATICO 30MM ESPESSO VERDE
41012,Azeitona verde 500gr A22
41013,BANANA PRATA
41014,2023 - CONVERGENCIAS HISTORIA 6 ANO
41015,BUCHA DO ESTABILIZADOR DIANT
41016,QUEIJO TIPO MINAS FRESCAL
41018,Cebolinha Kg
41019,Pasta Aba e Elastico Dello Oficio Line Lombo 20mm Cristal
41020,2023 - APOEMA CIENCIAS 7 ANO
41021,PNLD 2023 Obj1 - A Conquista - Ciencias - LA - 4o ano 0143P23030004LE - L 0143P23030004LE
41022,BETERRABA KG
41023,CANTONEIRA P/PRATELEIRA BRANCA 08x10 NACIONAL
41024,PAO CARECA
41025,ABACAXI HAVAI OU PEROLA
41026,"EC 90 ELECTROLYTE ANAL.(NA,K, CL)  N/S 3275-2-202108"
41027,(EXP) Cimento Caue 50kg Retira Hoje
41028,PALH.LIMP.CIVIC/A3/JETTA/C4/BRAVO/307 24P
41029,COMP. FEM. CIM. LEGION PS TAM
41030,NK651D BIOLOX DELTA CABECA PROT1214 36MM M ITEM 20 GRUPO 5
41031,ARMARIO BAIXO 2 PORTAS
41032,PARAFUSO TRAVA T2 TIB R PARCIAL 5X45MM
41033,LINGOTE DE ZINCO 54MM
41034,MUDAS PALMEIRA G DA ESCOLA
41035,PACOM DPF NOVO BRASAO - PROMASP
41036,ENVELOPE BRANCO 260X360
41037,PREGO COM CABECA 10 X 10 MM
41038,2023 - MATEMATICA BIANCHINI 8 ANO
41039,SISTEMA A LASER DE CO2 FRACIONADO MTZ 40
41040,MASSA PARA PASTEL
41041,CLORETO DE SODIO GT 1000 G - SCI/NAC
41042,BATERIA HELIAR 60MP
41043,MAIONESE 500G
41044,JOGO DE SAPATA DE FREIO
41045,INSET AE BAYGON EUCAL 360ML
41047,ATDR01 #MARCAPASSO CAMARA DUPLA ATTESTA DR MRI SURESCAN ATDR01
41048,CENOURA
41049,FEIJAO VERDE
41051,CARNE BOVINA PATINHO
41052,Iogurte com polpa de frutas b82
41053,"BOLSA CINTO P/ FERRAMENTAS ELETRICISTA, 15 BOLSOS"
41054,FARINHA DE MANDIOCA
41055,FARINHA DE TRIGO
41056,PLACA COM CHAVE DE LIMITE UTILIZADO EM EQUIPAMENTO DE MEDICINA NUCLEAR
41058,FRANGO INTEIRO
41059,HORTIFRUTIGRANJEIROS/CHUCHU
41060,5530-T-711A #MODIFIED HOLLOW CR TIBIAL INSERT TRIAL #7 - 11MM
41061,Pepino Kg
41062,UDP DATEN DC4D-U INTEL I3 10100T WIN10 PRO
41063,COMP. ACETABULAR POLIETILENO NUCLEO 0o CROSSLKD 62X36MM
41064,LIAISON AFP 100T
41065,ACUCAR CONFEITEIRO 01KG ARCOLOR
41067,SILICONE GREY
41068,METOCLOPRAMIDA METROFARMA 10MG/2ML AMP 2ML FARMACE (CX C/ 100 AMP)
41069,PES SUINO SG ESTRELA CX +/- 7KG
41070,PEPINO
41071,PONTEIRA SUPER TURBOVAC 90 EST
41072,PASTA C FERRAGEM CORES DIV DAC
41073,PARAFUSO ESPONJOSO 4.0x40mm
41074,VALVULA DE ESCAPAMENTO DO CABECOTE
41075,JUNTA DE VEDACAO 1120-129-0901
41076,BACON DEFUMADO
41077,LIV - NOVO ENSINO MEDIO - PROJETOS INT - PROJ INT DE MAT - PNLD/21 - PR
41078,"PILHA TAMANHO PEQUENA AA ALCALINA 1,5"
41079,STRAIN GAUGE
41080,PARAFUSO CORTICAL 02.7x12mm
41081,STENT COR CROMO PLAT C ELU DE EVEROLIMUS
41082,PARAFUSO CORTICAL AUTO ROSQ. 2.7X16MM ACO S15079
41083,ENZALUTAMIDE 40 mg - Fr Cont 124 Caps Gel Mole
41084,6260-9-232 #PROT Q CABECA V40 LFIT 32MM 4
41085,TT PB DG. HILUX 16/ C/ANTENA AGC
41086,COMPRESSOR BARRA PINO
41087,BALIZA INDICADORA - SN: 154
41088,GARFO SOBREMESA VENICE 'LAGUNA' 17CM WX5565
41089,BORR.AMORT.TRAS.CORSA/CELTA
41090,CAGE LOMBAR LATERAL 8 X 22 X 50 MM - 10 GRAUS - XLIF - COROENT XL-WIDE LORDOT
41091,PNLD 2023 Obj1 - A Conquista - Geografia - LA - 2o ano 0132P23050002LE - L 0132P23050002LE
41092,"VERDURA IN NATURA, TIPO ALFACE ROXA"
41093,AIS MESA DE OPERACAO
41094,BOCAL UP3 N 18.5  PURPURA - MEIO
41095,"DOCE, TIPO TIJOLINHO DE BANANA OU MARIOLA 20GR"
41096,FILTRO LUBRIFICANTE
41097,AZEITE DE OLIVA
41098,*LOS62AB (954 ) CARTUCHO DE TINTA CIANO
41101,OLEO DE SOJA CONCORDIA 900ML
41102,TEE 1/4 ENGATE RAPIDO
41103,REPOLHO BRANCO
41104,"Carne de ave in natura, Carcaça"
41105,"ARMADILHA ANIMAL,TIPO JACKSON,COMPONENTES TELHADO,ARAME E PISO ADESIVO,MATERIAL ARAME GALVANIZADO MEDIDA: 9,5CM X 12,5CM"
41106,CA GEN 2 - 300 TESTES -  LOTE : 66127801 - Validade : 30/11/2023
41107,QUEIJO CREAM CHEESE LIGHT
41108,"AGUA MINERAL COM GAS, 500ML, PACOTE C/ 12 UNIDADES"
41110,ARARIBA MAIS MAT 8 0302P20022008IL
41111,CANETA ESFEROGRÁFICA
41112,PARAFUSO CORTICAL ROSQ. BLOQUEIO 3.5X38MM ACO 20I001841
41113,AVEIA EM FLOCOS 200G
41114,BACON DEFUMADO FATIADO CIACARNE
41116,LARANJA
41118,Caneta Esferografica Bic Cristal 1mm Verde
41119,MELAO
41120,"PD60, PASTILHA FREIO DIANTEIRA PALIO 1.0 98/1.0 16V 01/ 1.3 8V 01/1.3 16V 01/03 1.4 06/ 1.5 98/00 WEEKEND1.0 99/00 1.4 0"
41121,LIV - APIS MAIS - CIENCIAS - 2o ANO PNLD 2023 AL
41122,Fita Silver Tape 50mmx50m Wurth
41123,TAPIOCA
41124,EDITORA ATICA SA. DA ESCOLA PARA O MUNDO PROJETO INTEGRADORES - 3 ANO PNLD2019
41125,"PLACA L DIREITA ESPESSURA 0,6MM, REGULAR RA: 80094170030 LT: 964920"
41126,SHELL JET A GRANEL
41127,MELANCIA
41128,PAO DE BATATA
41129,2210-36F #INSERT TRIDENT 10 36MM
41130,TIOSSULFATO DE SODIO PA 500GR DINAMICA
41131,QUIABO
41132,Banana nanica
41134,ETLW1624C124EE -ENXERTO TUBULAR ENDURANT II LIMB 16X24X124
41135,LIV - DA ESCOLA PARA O MUNDO - MATEMATICA - 5o ANO PNLD 2023 AL
41136,"LIV_MATEMATICA INTERLIGADA - FUNCOES AFIM, QUADRATICA, EXPONENCIAL E LOGARITMICA_PNLD AL"
41137,INDUZIDO DO MOTOR DE PARTIDA
41139,Estacoes fixas de monitoracao do espectro com TDOA
41140,COLACAO DIETA LIQUIDA EXAME
41141,ROTOR DA BOMBA D'ÁGUA
41142,2022-APRENDER JUNTOS HISTORIA-4ANO/2022
41143,SACO ALVEJADO ITATEX 43X63CM/70G
41144,FLUORURACILA ACCORD 1.000 MG SOL INJ
41145,MISTURA PARA PAO FRANCES
41146,"ITEM COMPRA 00039 - MESA DE REUNIÃO OVAL REVEST. POST FORMING,300CM COMPR.120CM LARG. 74CM.ALT.ESTRUT. BASE CHAPA DE AÇO"
41147,"0040P22005205IM  MANUAL DO PROFESSOR 1, 2, 3...E TEMPO DE APRENDER PRE ESC. I VOL. I"
41148,PLACA DE CIRCUITO IMPRESSO DE USO EXCLUSIVO EM MANUTENCAO DE MATERIAL AERONAUTIC
41149,PARAFUSO ESPONJOSO 06.5x50mm
41150,PAO PARA SANDUICHE(TIPO HOT DOG) 50G
41151,"Fio ortopedico implantavel material titanio, tipo Kirschnner"
41152,PEPINO
41154,QUEROSENE DE AVIACAO JET A
41155,COMP HASTE RETA 13X200MM LCCK
41156,OLEO DIRECAO
41157,CONECTOR ELETRICO DO COLETOR DE ESCAP
41158,PLACA DE CAPTURA INTERNA ELGATO
41159,MISTURA PAO F.BELONI 25KG-RAFIA
41160,VEDA ROSCA 18MM X 25M PISAFIX
41162,BUTTERFLY SABONETE KLYNE TALCO
41163,ESTACAO DE TRATAMENTO - ETE 8M3/D CASA DE QUIMICA BAKOF
41164,ALFACE
41165,OUTROS/PLACA DE IDENTIFICACAO 40 X 30 CM
41166,"TELHA, MATERIAL:FIBROCIMENTO, TIPO:ONDULADA, COMPRIMENTO:244 CM, LARGURA:50 CM, ESPESSURA:4 MM"
41167,REFRIGERANTE
41168,GASOLINA COMUM
41169,HORTIFRUTIGRANJEIROS/ABOBORA
41170,COLHER REDUTORA 9MM TRAUMA?
41171,MILHO GRAO
41172,"SALSA, IN NATURA"
41173,TAMBOR DE FREIO
41174,ELECSYS CS FSH II -  3032680122 -  ROCHE///
41175,Borracha Radex Asuper White Plastica
41176,OMEPRAZOL 2MG - FRASCO 50ML
41177,ALAVANCA DO CAMBIO agrale marrua Am1 vtne3/4
41178,JET A NAO TABELADO - LI
41179,REJUNTE EPOXI
41180,PERFURADOR FIXADOR 56MM - Lote:2327A16 - Valid:31/12/2049 - Anvisa:10223710063 - Ref.: 7059/03
41181,CHUCHU
41182,PAO FRANCES 50GR
41183,LIV WAY TO ENGLISH FOR BRAZILIAN LEARNERS 7 ANO AL
41184,DIALOGO CHSA AMERICA 0200P21204137IM
41185,HORTIFRUTIGRANJEIROS/BANANA
41186,COMPONENTE FEMORAL EP T3 ESQUERDO 2007241275
41187,ABOBORA JACARE (MADURA)
41188,CIE NAT CORPO HUMANO 0194P21203137IL
41189,PLACA CENTRAL DE GAS
41193,PROTEINA C REATIVA ALTAMENTE SENSIVEL - 300 TESTES -  LOTE : 57389301 - Validade : 31/05/2023
41194,CARRETA 5000 2 EIXOS RODADO SIMPLES MARCA LUMA
41195,INSTRUM LEGION/GENESIS II
41196,TINTA P/ PISO COR AMARELO DEMARCACAO 18 L
41197,BATERIA 60A MAGNETI MARELLI
41198,JG PALHETA DIANTEIRA
41199,ADAPTADOR SOLD- CURTO 25 X 3 4' - KRONA
41202,VAGEM MANTEIGA
41204,ALMOCO ESTUDANTE ESPECIAL
41205,FILTRO AGUA LOREM ACQUA MAQUINA
41206,PONCA TANGERINA
41207,HASTE CONFIX STD 6.25MM 12-14
41208,MÓDULO DE MEMÓRIA DDR3 1600 MHz PC3 12800 COM CAPACIDADE DE 8GB
41209,"BOMBA DE INFUSAO ST550T2 999,9 CIII PORTUGUES"
41210,VEICULOS DE TERCEIROS VOLVO PL:LQQ8167
41211,PAO DE QUEIJO MINI CONGELADO (SAM)
41212,AZEITONA VERDE
41213,SAL REFINADO ZIZO 1KG
41214,6541-9-000 #TRIATHLON CASE
41215,MLTD201LXAZ CART DE TONER PRETO 20K TT
41216,ABSOLUTE VEXL14-610X610X292-11-PP/I-C
41217,BUR MAIS G4 ED2 0034P23050004MP
41218,SHELL JET A GRANEL
41219,"AVENTAL DE SOLDADOR, MATERIAL COURO, COMPRIMENTO 1,18M, LARGURA 0,67M, CARACTERÍSTICAS ADICIONAIS C/ TIRAS NO PESCOÇO,"
41220,CUCA TIPO COM RECHEIO
41221,KIWI
41222,ELEMENTO FILTRA
41223,COUVE FOLHA
41224,REFLETOR FRESNEL F-165 WW - CHAUVET
41225,"MÁSCARA, TIPO RESPIRADOR, TIPO USO CARVÃO ATIVADO, TIPO FIXAÇÃO DUPLA SISTEMATIRAS ELÁSTICAS, CLIP NASAL,"
41226,PESSEGO EM CALDA LATA
41227,CALCA SOC PRETA FEM 40
41228,TRAVESSEIRO DE PEDRA
41229,COMP FEM CIMENTADO LEGION
41230,MEDALHA PERSONALIZADA
41231,CHUCHU
41232,SACO P/LIXO 60L VERMELHO 3M 55X69 PRAPESO C/100UN
41233,"ELETRODO ECG ADULTO, DESCARTAVEL"
41234,FLOCOS DE MILHO 500G
41235,"SINDICALISMO E ASSOCIATIVISMO DOS TRABALHADORES EM EDUCACAO NO BRASIL,COM ESCRITOS SOBRE OS ESTADOS UNIDOS DA AMERICA,IN"
41236,MASSA DE MANDIOCA
41237,BEM ME QUER MAIS GEOGRAFIA F1 5 2023
41238,PROVA DE BASE TIBIAL POLIETILENO NUMERO 7
41239,"BROCA DE 4,50 MM.,.80804050147 RMS.80804050147"
41241,MAMAO FORMOSA
41242,LAMPADA 67 12V
41243,Toner Compativel EFR CE505A
41245,LONA
41246,MANGA
41247,"CARRARA, Kester (Org.). Introducao a psicologia da educacao: seis abordagens."
41248,LOSARTANA POTASSICA 50MG CPR (CX C/ 30) NEOQUIMICA
41249,UVA PASSA PRETA 1 KG
41250,MEL PURO 270G
41251,MAIONESE TRADICIONAL - 3KG
41253,NOVASOURCE PROLINE BAUNILHA 200ML
41254,REAGENTE MISTURA REACAO QPCR 2
41255,KIT CANULAOBTUR.CONICO 2.9MM
41256,MANEQUIM AÇO INOX
41257,PLACA ELETRONICA DE CONTROLE COM PARAFUSOS
41258,BEBEDOURO
41259,ARCH - MULTCHEM IA PLUS M/ABBOTT
41260,TONER OKIDATA MC361/MC362 CIANO
41261,ESPACADOR PLIFIX POSTERIOR LOMBAR DE PEEK 11mm
41262,PLACA PBA-S DISTAL DE UMERO POSTERO LAT. DIR. 05 F
41263,CEBOLA
41264,MAMAO FORMOSA
41265,REDE TENIS DE MESA S/ SUPORTE
41266,MOD PLUS CHSA CONFL 0184P21204138IM
41267,PAPEL A4
41268,FAVA
41269,DESINFETANTE PINHO BRIL BRISA MAR 1L
41270,CONJUNTO DA CAIXA ESQUERDA
41271,FILE DE TILAPIA ESPALMADA
41272,FILTRO DE COMBUSTIVEL
41273,"Bandeira do Merco Sul- 1,12m x 1,60m/Oxford/Estampada/Dupla face"
